_id,Tourist ID,Age,Interests,Preferred Tour Duration,Accessibility,Site Name,Sites Visited,Tour Duration,Route ID,Tourist Rating,System Response Time,Recommendation Accuracy,VR Experience Quality,Satisfaction
686d988223c1156e8fe37e6f,1,48,"['Architecture', 'Art', 'History']",5,false,Eiffel Tower,"['Eiffel Tower', 'Great Wall of China', 'Taj Mahal']",7,1000,1.6,3.73,97,4.5,3
686d988223c1156e8fe37e70,2,37,"['Cultural', 'Nature']",6,false,Colosseum,['Great Wall of China'],1,2000,2.6,2.89,90,4.5,3
686d988223c1156e8fe37e71,3,43,"['History', 'Art', 'Architecture']",6,true,Machu Picchu,['Eiffel Tower'],2,3000,1.7,2.22,94,4.7,3
686d988223c1156e8fe37e72,4,46,"['Cultural', 'Art', 'Architecture']",8,false,Colosseum,"['Machu Picchu', 'Taj Mahal']",5,4000,2,2.34,92,4.7,3
686d988223c1156e8fe37e73,5,53,"['Architecture', 'Art']",5,true,Colosseum,"['Machu Picchu', 'Taj Mahal', 'Great Wall of China']",7,5000,3.7,2,96,4.8,4
686d988223c1156e8fe37e74,6,50,"['Architecture', 'History', 'Cultural']",4,false,Machu Picchu,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",4,6000,2.2,3.74,99,4.5,3
686d988223c1156e8fe37e75,7,61,"['Architecture', 'History']",7,false,Eiffel Tower,"['Eiffel Tower', 'Colosseum', 'Taj Mahal']",6,7000,4.1,4.66,93,4.5,4
686d988223c1156e8fe37e76,8,23,"['Cultural', 'Architecture']",5,false,Eiffel Tower,['Colosseum'],2,8000,2.8,4.84,91,4.9,3
686d988223c1156e8fe37e77,9,34,"['Cultural', 'Art']",5,true,Colosseum,"['Great Wall of China', 'Eiffel Tower', 'Colosseum']",6,9000,4,1.54,95,4.4,4
686d988223c1156e8fe37e78,10,61,"['Nature', 'Architecture']",5,false,Colosseum,"['Colosseum', 'Taj Mahal', 'Machu Picchu']",6,10000,3.8,3.59,95,4.7,4
686d988223c1156e8fe37e79,11,27,"['Nature', 'Architecture']",4,false,Eiffel Tower,"['Machu Picchu', 'Colosseum', 'Taj Mahal']",6,11000,3.2,4.48,99,4.2,3
686d988223c1156e8fe37e7a,12,37,['Cultural'],3,true,Eiffel Tower,"['Colosseum', 'Machu Picchu']",5,12000,1.7,2.63,100,4.6,3
686d988223c1156e8fe37e7b,13,45,"['Nature', 'Cultural', 'Architecture']",8,true,Eiffel Tower,"['Machu Picchu', 'Eiffel Tower', 'Great Wall of China']",6,13000,1.8,3.47,100,4.5,3
686d988223c1156e8fe37e7c,14,61,['Cultural'],8,true,Colosseum,['Eiffel Tower'],1,14000,4.3,3.48,91,4.4,4
